word index,english,hiragana,kanji,date_added,rank,sample,is_active
114,not at all,ぜんぜん,全然,25/05/2020,3,1,1
115,usually,たいてい,大抵,25/05/2020,3,1,1
116,souvenir,おみやげ,お土産,28/05/2020,3,1,1
117,child,こども,子供,28/05/2020,2,1,0
118,photograph,しゃしん,写真,28/05/2020,3,1,1
119,letter,てがみ,手紙,28/05/2020,2,1,0
120,desk,つくえ,机,28/05/2020,1,1,1
121,cat,ねこ,猫,28/05/2020,1,1,0
122,tear,なみだ,涙,29/05/2020,2,1,1
123,weather forecast,てんきよほう,天気予報,29/05/2020,3,1,0
124,hat,ぼうし,帽子,29/05/2020,2,1,1
125,to fall (rain),ふる,降る,29/05/2020,2,1,0
126,night view,やけい,夜景,31/05/2020,3,1,1
127,one more time,もういちど,もう一度,31/05/2020,2,1,0
128,station attendant,えきいん,駅員,31/05/2020,4,1,1
129,parent,おや,親,31/05/2020,2,1,0
130,research,けんきゅう,研究,31/05/2020,4,1,1
131,to read,よむ,読む,31/05/2020,2,1,0
132,to take (a photo),とる,撮る,31/05/2020,3,1,1
133,park,こうえん,公園,31/05/2020,3,1,0
134,bus stop,バスてい,バス停,31/05/2020,2,1,1
135,hospital,びょういん,病院,31/05/2020,4,1,0
136,temple,おてら,お寺,31/05/2020,2,1,0
137,book store,ほんや,本屋,01/06/2020,2,1,0
138,town,まち,町,01/06/2020,1,1,0
139,yesterday,きのう,昨日,01/06/2020,2,1,1
140,last week,せんしゅう,先週,01/06/2020,3,1,0
141,inside,なか,中,01/06/2020,1,1,0
142,postal stamps,きって,切手,01/06/2020,2,1,1
143,ticket,きっぷ,切符,01/06/2020,3,1,1
144,homework,しゅくだい,宿題,01/06/2020,5,1,1
145,airplane,ひこうき,飛行機,04/06/2020,5,1,0
146,room,へや,部屋,04/06/2020,3,1,0
147,postcard,はがき,葉書,04/06/2020,5,1,1
148,travel,りょこう,旅行,04/06/2020,3,1,1
149,birthday,たんじょうび,誕生日,04/06/2020,4,1,1
150,behind,うしろ,後ろ,04/06/2020,2,1,0
151,hot (weather),あつい,暑い,04/06/2020,2,1,0
152,free time,ひま,暇,05/06/2020,2,1,0
153,to swim,およぐ,泳ぐ,05/06/2020,2,1,0
154,to ask,きく,聞く,06/06/2020,1,1,0
155,to ride,のる,乗る,06/06/2020,1,1,0
156,together,いっしょに,一緒に,06/06/2020,2,1,1
157,bath,おふろ,お風呂,06/06/2020,2,1,0
158,kanji,かんじ,漢字,06/06/2020,3,1,1
159,hot (objects),あつい,熱い,06/06/2020,4,1,1
160,interesting;funny,おもしろい,面白い,06/06/2020,2,1,0
161,cold (weather),さむい,寒い,06/06/2020,2,1,0
162,small,ちいさい,小さい,06/06/2020,1,1,0
163,old,ふるい,古い,06/06/2020,1,1,0
164,difficult,むずかしい,難しい,06/06/2020,3,1,1
165,cheap,やすい,安い,06/06/2020,1,1,0
166,to dislike,きらい,嫌い,06/06/2020,5,1,1
167,healthy;energetic,げんき,元気,06/06/2020,2,1,1
168,quiet,しずか,静か,06/06/2020,4,1,1
169,textbook,きょうかしょ,教科書,09/06/2020,5,1,1
170,next,つぎ,次,09/06/2020,2,1,0
171,baggage,にもつ,荷物,09/06/2020,3,1,1
172,window,まど,窓,09/06/2020,3,1,0
173,tough (situation),たいへん,大変,09/06/2020,4,1,1
174,next time,じかい,次回,09/06/2020,2,1,1
175,to return (things),かえす,返す,12/06/2020,1,1,1
176,to play,あそぶ,遊ぶ,12/06/2020,3,1,1
177,to turn off;to erase,けす,消す,12/06/2020,1,1,1
178,to die,しぬ,死ぬ,12/06/2020,1,1,0
179,to hurry,いそぐ,急ぐ,12/06/2020,2,1,1
180,to sit down,すわる,座る,12/06/2020,2,1,0
181,to stand,たつ,立つ,12/06/2020,1,1,0
182,to smoke,タバコをすう,タバコを吸う,12/06/2020,1,1,1
183,to use,つかう,使う,13/06/2020,2,1,0
184,to help,てつだう,手伝う,13/06/2020,1,1,0
185,to carry;to hold,もつ,持つ,13/06/2020,1,1,1
186,to wait,まつ,待つ,13/06/2020,1,1,0
187,to open (something),あける,開ける,13/06/2020,2,1,0
188,to borrow,かりる,借りる,13/06/2020,2,1,1
189,to get off,おりる,降りる,13/06/2020,3,1,1
190,to close (something),しめる,閉める,13/06/2020,2,1,0
191,to forget; to leave behind,わすれる,忘れる,13/06/2020,3,1,1
192,to teach,おしえる,教える,13/06/2020,4,1,1
193,to bring a person,つれてくる,連れてくる,13/06/2020,2,1,1
194,to bring a thing,もってくる,持ってくる,13/06/2020,2,1,0
195,later on ,あとで,後で,13/06/2020,2,1,0
196,(to do something) late,おそく,遅く,13/06/2020,2,1,0
197,that's fine,けっこう,結構,13/06/2020,4,1,1
198,really?,ほんとう,本当,13/06/2020,2,1,0
199,older sister,あね,姉,13/06/2020,1,1,1
200,younger sister,いもうと,妹,13/06/2020,1,1,0
201,song,うた,歌,13/06/2020,2,1,0
202,younger brother,おとうと,弟,13/06/2020,2,1,0
203,company,かいしゃ,会社,13/06/2020,3,1,0
204,brothers and sisters,きょうだい,兄弟,14/06/2020,2,1,1
205,hair,かみ,髪,14/06/2020,4,1,1
206,family,かぞく,家族,14/06/2020,3,1,1
207,cafeteria,しょくどう,食堂,14/06/2020,3,1,1
208,glasses,めがね,眼鏡,14/06/2020,5,1,0
209,tall,せがたかい,背が高い,15/06/2020,2,1,0
210,short (height),せがひくい,背が低い,15/06/2020,3,1,1
211,long,ながい,長い,15/06/2020,2,1,1
212,short (length),みじかい,短い,15/06/2020,2,1,1
213,fast,はやい,速い,15/06/2020,2,1,1
214,kind,しんせつな,親切な,15/06/2020,3,1,1
215,convenient,べんりな,便利な,15/06/2020,3,1,1
216,to know,しる,知る,15/06/2020,2,1,0
217,to gain weight,ふとる,太る,16/06/2020,1,1,0
218,to put on (glasses),めがねをかける,眼鏡をかける,16/06/2020,5,1,0
219,to put on (above waist),きる,着る,16/06/2020,2,1,0
220,to work for,つとめる,勤める,16/06/2020,3,1,1
221,truth,しんじつ,真実,16/06/2020,3,1,0
222,air,くうき,空気,17/06/2020,2,1,0
223,this morning,けさ,今朝,17/06/2020,2,1,0
224,job,しごと,仕事,17/06/2020,3,1,0
225,high school students,こうこうせい,高校生,17/06/2020,4,1,1
226,good at;skillful,じょうずな,上手な,17/06/2020,2,1,0
227,poor at,へたな,下手な,17/06/2020,2,1,0
228,famous,ゆうめい,有名,17/06/2020,3,1,1
229,to wash,あらう,洗う,17/06/2020,2,1,1
230,to be late (for),おそくなる,遅くなる,18/06/2020,2,1,0
231,to cut,きる,切る,18/06/2020,1,1,0
232,to make,つくる,作る,18/06/2020,2,1,0
233,to take (something),もっていく,持っていく,18/06/2020,2,1,1
234,to stare at,じろじろみる,じろじろ見る,18/06/2020,1,1,0
235,to start; to begin,はじめる,始める,18/06/2020,3,1,1
236,to drive,うんてんする,運転する,18/06/2020,4,1,0
237,to do laundry,せんたくする,洗濯する,18/06/2020,5,1,1
238,to clean,そうじする,掃除する,18/06/2020,4,1,1
239,to cook,りょうりする,料理する,18/06/2020,4,1,1
240,cheers!,かんぱい,乾杯,19/06/2020,3,1,1
241,that's too bad,ざんねん,残念,19/06/2020,4,1,1
242,colour,いろ,色,19/06/2020,1,1,0
243,onsen,おんせん,温泉,19/06/2020,3,1,1
244,medicine,くすり,薬,19/06/2020,2,1,0
245,bento box,おべんとう,お弁当,19/06/2020,2,1,0
246,essay,さくぶん,作文,19/06/2020,2,1,1
247,exam,しけん,試験,19/06/2020,4,1,1
248,shinkansen,しんかんせん,新幹線,19/06/2020,5,1,1
249,word,たんご,単語,19/06/2020,3,1,0
250,illness,びょうき,病気,19/06/2020,3,1,0
251,lonely,さびしい,寂しい,19/06/2020,3,1,1
252,young,わかい,若い,19/06/2020,2,1,1
253,especially,とくに,特に,21/06/2020,2,1,1
254,a drink (thing),のみもの,飲み物,21/06/2020,2,1,0
255,body,からだ,体,21/06/2020,1,1,0
256,airport,くうこう,空港,21/06/2020,3,1,1
257,sometimes,ときどき,時々,21/06/2020,3,1,0
258,mean-spirited,いじわるな,意地悪,22/06/2020,5,1,0
259,to dance,おどる,踊る,22/06/2020,3,1,1
260,to end; to finish; (something ends),おわる,終わる,22/06/2020,3,1,0
261,(something) starts,はじまる,始まる,22/06/2020,3,1,1
262,to play (string instrument or piano),ひく,弾く,22/06/2020,3,1,1
263,to memorize,おぼえる,覚える,22/06/2020,3,1,0
264,to do exercise,うんどうする,運動する,23/06/2020,4,1,0
265,to take a walk,さんぽする,散歩する,23/06/2020,5,1,1
266,by all means,ぜひ,是非,23/06/2020,3,1,0
267,yellow,きいろい,黄色い,23/06/2020,3,1,1
268,brown,ちゃいろい,茶色い,23/06/2020,2,1,1
269,gray,はいいろ,灰色,23/06/2020,1,1,0
270,silver (colour),ぎんいろ,銀色,23/06/2020,2,1,0
271,purple,むらさき,紫,23/06/2020,5,1,1
272,light blue,みずいろ,水色,23/06/2020,1,1,0
273,gold (colour),きんいろ,金色,23/06/2020,1,1,0
274,situation,じょうきょう,状況,23/06/2020,2,1,1
275,beautiful sunset,ゆうやけ,夕焼け,25/06/2020,4,1,1
276,doctor,いしゃ,医者,26/06/2020,3,1,1
277,rich person,おかねもち,お金持ち,26/06/2020,2,1,0
278,face ,かお,顔,26/06/2020,3,1,1
279,season,きせつ,季節,26/06/2020,5,1,1
280,life;living,せいかつ,生活,26/06/2020,2,1,1
281,world,せかい,世界,26/06/2020,3,1,1
282,super,ちょう,超,27/06/2020,3,1,0
283,to quit,やめる,辞める,27/06/2020,2,1,1
284,to change,かわる,変わる,27/06/2020,2,1,1
285,to understand,わかる,分かる,27/06/2020,1,1,0
286,(the) moment,しゅんかん,瞬間,27/06/2020,3,1,1
287,overseas,かいがい,海外,27/06/2020,2,1,0
288,to aim for,めざす,目指す,27/06/2020,3,1,1
289,firefighter,しょうぼうし,消防士,27/06/2020,4,1,1
290,to place,おく,置く,27/06/2020,4,1,1
291,excuse me (for the intrusion),おじゃまします,お邪魔します,27/06/2020,5,1,1
292,love,れんあい,恋愛,27/06/2020,5,1,0
293,unexpected,いがい,意外,27/06/2020,4,1,1
294,pardon me (for entering),さきれいします,先礼します,27/06/2020,3,1,0
295,to fail,しっぱいする,失敗する,27/06/2020,3,1,1
296,frustrating,くやしい,悔しい,27/06/2020,2,1,1
297,to start something te form,はじめて,初めて,28/06/2020,1,1,1
298,fashionable,はやってる,流行ってる,28/06/2020,2,1,1
299,the first,さいしょ,最初,28/06/2020,3,1,1
300,romantic,れんあいてき,恋愛的,28/06/2020,5,1,1
301,to progress,しんてんする,進展する,28/06/2020,5,1,1
302,absolutely,ぜったい,絶対,28/06/2020,3,1,1
303,usually (2),ふつう,普通,28/06/2020,3,1,1
304,preparation,じゅんび,準備,28/06/2020,5,1,1
305,strategy,さくせん,作戦,28/06/2020,5,1,1
306,to receive,うける,受ける,28/06/2020,3,1,1
307,subway,ちかてつ,地下鉄,30/06/2020,4,1,1
308,to share (information),わけあう,分け合う,01/07/2020,1,1,0
309,star,ほし,星,01/07/2020,2,1,0
310,shooting star,ながれぼし,流れ星,01/07/2020,3,1,1
311,in fact,じっさい,実際,01/07/2020,4,1,1
312,regrettable,おしい,惜しい,01/07/2020,3,1,1
313,right after,ちょくご,直後,01/07/2020,3,1,1
314,self employed,じえい,自営,01/07/2020,3,1,1
315,both,りょうほう,両方,01/07/2020,3,1,1
316,embarrassing,はずかしい,恥ずかしい,09/07/2020,2,1,0
317,simple,かんたん,簡単,09/07/2020,3,1,1
318,to think;to consider,かんがえる,考える,09/07/2020,2,1,1
319,strong,つよい,強い,09/07/2020,2,1,0
320,confidence,じしん,自信,09/07/2020,2,1,1
321,flight,びん,便,11/07/2020,1,1,1
322,baseball,やきゅう,野球,11/07/2020,3,1,1
323,boat;ship,ふね,船,11/07/2020,2,1,1
324,gloves,てぶくろ,手袋,11/07/2020,4,1,1
325,barbers,とこや,床屋,11/07/2020,2,1,0
326,warm,あたたかい,暖かい,13/07/2020,3,1,1
327,cool (weather),すずしい,涼しい,13/07/2020,2,1,1
328,cold (thing/person),つめたい,冷たい,13/07/2020,2,1,0
329,sleepy,ねむい,眠い,13/07/2020,2,1,1
330,to stay at,とまる,泊まる,13/07/2020,2,1,1
331,to pay,はらう,払う,13/07/2020,1,1,0
332,to decide,きめる,決める,13/07/2020,2,1,1
333,to get cold;to become cold,ひえる,冷える,15/07/2020,2,1,0
334,to practice,れんしゅうする,練習する,15/07/2020,3,1,1
335,by foot,あるいて,歩いて,15/07/2020,2,1,0
336,reserved seating,していせき,指定席,15/07/2020,5,1,1
337,round trip,おうふく,往復,15/07/2020,3,1,1
338,one way,かたみち,片道,15/07/2020,4,1,1
339,track number,〜ばんせん,〜番線,17/07/2020,4,1,1
340,snacks;sweets,おかし,お菓子,17/07/2020,3,1,1
341,boy,おとこのこ,男の子,17/07/2020,2,1,0
342,girl,おんあのこ,女の子,17/07/2020,2,1,1
343,new year's,おしょうがつ,お正月,17/07/2020,2,1,1
344,singer,かしゅ,歌手,17/07/2020,2,1,0
345,the future,しょうらい,将来,17/07/2020,5,1,1
346,president (of a company),しゃちょう,社長,18/07/2020,2,1,1
347,lake,みずうみ,湖,18/07/2020,2,1,1
348,dream,ゆめ,夢,18/07/2020,3,1,1
349,to own (a pet),かう,飼う,18/07/2020,3,1,0
350,to take (a class); to get (a grade),とる,取る,18/07/2020,1,1,1
351,to learn,ならう,習う,20/07/2020,2,1,1
352,to work,はたらく,働く,20/07/2020,2,1,0
353,to climb,のぼる,登る,20/07/2020,2,1,1
354,to get tired,つかれる,疲れる,20/07/2020,2,1,1
355,to be late (for an appointment),ちこくする,遅刻する,20/07/2020,4,1,1
356,to study abroad,りゅうがくする,留学する,20/07/2020,4,1,1
357,coming from (place),しゅうしん,就寝,20/07/2020,5,1,1
358,egg,たまご,卵,22/07/2020,2,1,0
359,dazzling,まぶしい,眩しい,22/07/2020,1,1,1
360,writer,さっか,作家,22/07/2020,1,1,0
361,police officer,けいさつかん,警察官,22/07/2020,5,1,1
362,actor,はいゆう,俳優,22/07/2020,5,1,1
363,nurse,かんごふ,看護婦,22/07/2020,5,1,1
364,vegetables,やさい,野菜,22/07/2020,4,1,1
365,housewife,しゅふ,主婦,22/07/2020,4,1,1
366,meaning,いみ,意味,22/07/2020,3,1,0
367,a cold,かぜ,風邪,22/07/2020,3,1,1
368,temperature,きおん,気温,22/07/2020,2,1,1
369,politics,せいじ,政治,22/07/2020,3,1,1
370,leg;foot,あし,足,25/07/2020,1,1,0
371,boyfriend,かれ,彼,25/07/2020,1,1,1
372,girlfriend,かのじょ,彼女,25/07/2020,1,1,1
373,cloudy weather,くもり,曇り,25/07/2020,4,1,1
374,match;game,しあい,試合,25/07/2020,2,1,1
375,grade (on a test),せいせき,成績,25/07/2020,5,1,1
376,tooth,は,歯,25/07/2020,4,1,1
377,flower,はな,花,25/07/2020,1,1,0
378,sunny weather,はれ,晴れ,25/07/2020,2,1,1
379,clothes,ふく,服,25/07/2020,2,1,1
380,sweet,あまい,甘い,27/07/2020,1,1,0
381,business to take care of,ようじ,用事,27/07/2020,2,1,1
382,hangover,ふつかよい,二日酔い,27/07/2020,2,1,1
383,there are many…,おおい,多い,27/07/2020,1,1,0
384,hurt;painful,いたい,痛い,27/07/2020,3,1,1
385,snow,ゆき,雪,27/07/2020,1,1,0
386,narrow,せまい,狭い,03/08/2020,1,1,1
387,inconvenient,つごうがわるい,都合が悪い,03/08/2020,2,1,1
388,fantastic,すてきな,素敵な,03/08/2020,5,1,1
389,interests,きょうみ,興味,03/08/2020,5,1,0
390,to have a fever,ねつがある,熱がある,03/08/2020,3,1,0
391,to become thirsty,のどがかわく,のどが渇く,03/08/2020,2,1,1
392,to cough,せきがでる,せきが出る,03/08/2020,1,1,1
393,to break up,わかれる,別れる,03/08/2020,2,1,1
394,to get nervous,きんちょうする,緊張する,03/08/2020,5,1,1
395,to worry,しんぱいする,心配する,03/08/2020,4,1,1
396,get well soon,おだいじに,お大事に,04/08/2020,2,2,0
397,maybe,たぶん,多分,04/08/2020,1,2,1
398,degrees,〜ど,〜度,04/08/2020,1,2,1
399,woman,じょせい,女性,04/08/2020,1,3,1
400,man,男性,男性,04/08/2020,1,3,1
401,bank,ぎんこう,銀行,04/08/2020,2,3,1
402,heaven,てんごく,天国,05/08/2020,1,2,0
403,shrine,じんじゃ,神社,05/08/2020,3,2,1
404,to return (e.g. home),かえる,帰る,05/08/2020,2,2,0
405,going home,きこく,帰国,05/08/2020,2,3,1
406,to put something in,いれる,入れる,05/08/2020,1,3,1
407,fire,かじ,火事,05/08/2020,2,3,1
408,linguistics,げんごがく,言語学,05/08/2020,3,1,1
409,counter: flat; thin objects,〜まい,〜枚,07/08/2020,1,2,1
410,counter: vehicles; big equipment,〜だい,〜台,07/08/2020,1,2,1
411,counter: books,〜さつ,〜冊,07/08/2020,1,2,0
412,counter: shoes;socks,〜そく,〜足,07/08/2020,1,3,1
413,counter: animals (cat;dog;fish),〜ひき,〜匹,07/08/2020,1,3,0
414,counter: long round objects,〜ほん,〜本,07/08/2020,1,3,0
415,pardon me (short),しつれい,失礼,07/08/2020,2,1,0
416,mysterious,ふしぎな,不思議な,08/08/2020,5,1,1
417,A.M.,ごぜん,午前,08/08/2020,3,1,0
418,P.M.,ごご,午後,08/08/2020,3,1,0
419,name,なまえ,名前,08/08/2020,3,1,0
420,lastly,さいごに,最後に,08/08/2020,3,1,0
421,blank sheet,はくし,白紙,08/08/2020,3,1,1
422,rainy season,うき,雨期,08/08/2020,4,1,1
423,to write,かく,書く,09/08/2020,2,1,0
424,dictionary,じしょ,辞書,09/08/2020,3,1,1
425,telephone,でんわ,電話,09/08/2020,3,1,0
426,secondhand,ちゅうこ,中古,09/08/2020,1,1,1
427,address,じゅうしょ,住所,09/08/2020,3,1,1
428,to live (somewhere),すむ,住む,10/08/2020,1,1,0
429,way;road,みち,道,10/08/2020,2,1,0
430,bicycle,じてんしゃ,自転車,10/08/2020,3,1,0
431,midnight,よなか,夜中,10/08/2020,2,1,0
432,breakfast (2),ちょうしょく,朝食,10/08/2020,3,1,1
433,counter: small items,〜こ,〜個,11/08/2020,1,1,1
434,automobile,じどうしゃ,自動車,11/08/2020,3,1,0
435,belongings,しょじひん,所持品,11/08/2020,4,1,1
436,good will,こうい,好意,11/08/2020,3,1,1
437,nearby,ちかく,近く,11/08/2020,2,1,1
438,neighborhood,きんじょ,近所,11/08/2020,3,1,1
439,circumstance;situation,じょうたい,状態,12/08/2020,4,1,1
440,cheerful;bright,あかるい,明るい,12/08/2020,1,1,0
441,explanation,せつめい,説明,12/08/2020,3,1,1
442,to be reflected,うつる,映る,12/08/2020,2,1,1
443,painter,がか,画家,12/08/2020,2,1,1
444,plan,けいかく,計画,12/08/2020,3,1,1
445,expedition,たんけん,探検,01/09/2020,3,1,1
446,to be vacant;free,あいてる,空いてる,01/09/2020,1,1,1
447,first visit,はつもうで,初詣,01/09/2020,3,1,1
448,to choose;select,えらぶ,選ぶ,01/09/2020,4,1,1
449,to get used to,なれる,慣れる,01/09/2020,4,1,1
450,to tell,つたえる,伝える,02/09/2020,1,1,1
451,weight loss,げんりょう,減量,02/09/2020,5,1,1
452,smell;scent,におい,匂い,02/09/2020,3,1,1
453,rare,めずらしい,珍しい,02/09/2020,3,1,1
454,necessary,ひつよう,必要,02/09/2020,4,1,1
455,problem,もんだい,問題,03/09/2020,3,1,1
456,personality,せいかく,性格,03/09/2020,4,1,1
457,expectation;anticipation,きたい,期待,03/09/2020,4,1,1
458,simultaneous,どうじ,同時,03/09/2020,2,1,1
459,earth,ちきゅう,地球,03/09/2020,5,1,1
460,relief,あんしんする,安心する,13/09/2020,2,1,1
461,narrow space,ねこのひたい,猫の額,13/09/2020,3,1,1
462,diligent,きんべんな,勤勉な,13/09/2020,4,1,1
463,kitchen,だいどころ,台所,13/09/2020,2,1,1
464,obstinate,ごうじょうな,強情な,13/09/2020,4,1,1
465,to differ;to vary,ちがう,違う,20/09/2020,3,1,1
466,reason,りゆう,理由,20/09/2020,3,1,1
467,perfect,かんぜん,完全,20/09/2020,2,1,1
468,method,ほうほう,方法,20/09/2020,3,1,1
469,old times,むかし,昔,20/09/2020,2,1,1
470,early morning,そうちょう,早朝,20/09/2020,2,1,1
471,to get up,おきる,起きる,20/09/2020,2,1,1
472,to wake someone up,おこす,起こす,20/09/2020,2,1,1
473,pronunciation,はつおん,発音,25/09/2020,4,1,1
474,to move;to stir;to shift;to shake;to swing,うごく,動く,25/09/2020,2,1,1
475,to make a move;to take action,うごく,動く,25/09/2020,2,1,1
476,to operate;to run;to go;to work,うごく,動く,25/09/2020,2,1,1
477,to fall asleep,ねこんでる,寝込んでる,25/09/2020,3,1,1
478,to worry(2),なやんでる,悩んでる,25/09/2020,4,1,1
479,voice,こえ,声,25/09/2020,2,1,1
480,to remain; to be left,のこる,残る,20/10/2020,4,1,1
481,desperate,ひっし,必死,20/10/2020,3,1,1
482,to watch out,ちゅういする,注意する,20/10/2020,4,1,1
483,opinion,いけん,意見,20/10/2020,3,1,1
484,to prepare,よういする,用意する,20/10/2020,3,1,1
485,summit,ちょうじょう,頂上,20/10/2020,4,1,1
486,scared of heights,こうしょきょうふしょう,高所恐怖症,20/10/2020,5,1,1
487,scenery,けしき,景色,20/10/2020,2,1,1
488,to leave; to preserve,のこす,残す,20/10/2020,4,1,1
489,nature,しぜん,自然,20/10/2020,3,1,1
